Volgorde (spotify),ID,Track Name,Artist Name,Afgespeeld,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
22,18,Pretty Fly (For a White Guy),The Offspring,,Americana,1,4,188106,spotify:user:florisdenhengst,2019-09-03T08:09:09Z
23,77,Nothing Compares 2 U,Sinéad O'Connor,,I Do Not Want What I Haven't Got,1,6,280040,spotify:user:florisdenhengst,2019-09-03T09:17:30Z
24,4,We like to Party! (The Vengabus),Vengaboys,,Greatest Hits!,1,1,224226,spotify:user:florisdenhengst,2019-09-03T08:08:09Z
25,116,Alane,Wes,,Welenga,1,2,220133,spotify:user:florisdenhengst,2019-09-03T08:09:56Z
26,9,Rhythm Is A Dancer,SNAP!,,The Madman's Return,1,6,332226,spotify:user:florisdenhengst,2019-09-03T08:08:09Z
27,30,R U Kiddin' Me,Anouk,,Urban Solitude,1,3,200400,spotify:user:florisdenhengst,2019-09-03T08:08:09Z
28,34,Mr. Vain,Culture Beat,,Serenity,1,2,336840,spotify:user:florisdenhengst,2019-09-03T08:09:09Z
29,108,Livin' la Vida Loca,Ricky Martin,,Ricky Martin,1,1,243160,spotify:user:florisdenhengst,2019-09-03T08:09:56Z
30,57,Bitch,Meredith Brooks,,Blurring The Edges,1,2,252760,spotify:user:florisdenhengst,2019-09-03T08:09:56Z
31,144,Blue (Da Ba Dee),"Eiffel 65, Gabry Ponte",,Europop,1,4,283747,spotify:user:florisdenhengst,2019-09-03T09:04:01Z
32,137,Praise You,Fatboy Slim,,Why Try Harder (The Greatest Hits),1,2,227973,spotify:user:florisdenhengst,2019-09-03T08:09:09Z
33,16,Een nieuw begin,"Bart Bosch, Laura Vlasblom",,Aladdin (Originele Nederlandstalige Soundtrack),1,9,161346,spotify:user:florisdenhengst,2019-09-03T08:54:12Z
34,58,Gettin' Jiggy Wit It,Will Smith,,Big Willie Style,1,3,227694,spotify:user:florisdenhengst,2019-09-03T08:09:09Z
35,35,Should I Stay or Should I Go,The Clash,,Hits Back,1,23,188240,spotify:user:florisdenhengst,2019-09-03T08:09:09Z
36,2,I Wanna Be A Hippy,Technohead,,Happy Hardcore Top 100,1,1,196231,spotify:user:florisdenhengst,2019-09-03T08:09:09Z
37,76,Bailamos,Enrique Iglesias,,UNO (95/08) [Regular USA],1,7,214693,spotify:user:florisdenhengst,2019-09-03T08:09:56Z
38,104,Be My Lover,La Bouche,,Best Of La Bouche feat. Melanie Thornton (feat. Melanie Thornton),1,2,240866,spotify:user:florisdenhengst,2019-09-03T08:09:09Z
39,50,Changes,"2Pac, Talent",,2Pac Greatest Hits (Explicit Version),2,5,268826,spotify:user:florisdenhengst,2019-09-03T08:09:09Z
40,64,Sing Hallelujah!,Dr. Alban,,One Love (2nd Edition),1,4,240933,spotify:user:florisdenhengst,2019-09-03T08:09:09Z
41,134,No Limit,2 Unlimited,,Unlimited Hits & Remixes,1,1,223694,spotify:user:florisdenhengst,2019-09-03T08:08:09Z
42,41,The Dolphin's Cry,Live,,The Distance To Here,1,1,264160,spotify:user:florisdenhengst,2019-09-03T08:09:09Z
43,61,Are You Gonna Go My Way,Lenny Kravitz,,Are You Gonna Go My Way,1,1,211933,spotify:user:florisdenhengst,2019-09-03T08:09:09Z
44,72,Let Me Entertain You,Robbie Williams,,Life Thru A Lens,1,8,262000,spotify:user:florisdenhengst,2019-09-03T08:08:09Z
45,131,MMMBop,Hanson,,MmmBop : The Collection,1,1,267946,spotify:user:florisdenhengst,2019-09-03T08:09:09Z
46,118,Mysterious Girl,Peter Andre,,Return of the 90s,1,46,216173,spotify:user:florisdenhengst,2019-09-03T08:09:56Z
47,78,Smooth,"Santana, Rob Thomas",,Supernatural (Remastered),1,5,294986,spotify:user:florisdenhengst,2019-09-03T08:09:56Z
48,84,Follow The Leader,Soca Boys,,Wk 2010 Hits,1,7,254306,spotify:user:florisdenhengst,2019-09-03T08:09:09Z
49,21,Two Princes,Spin Doctors,,Pocket Full Of Kryptonite,1,7,256733,spotify:user:florisdenhengst,2019-09-03T08:09:09Z
50,19,"The Key, The Secret",Urban Cookie Collective,,The Very Best Of,1,1,222666,spotify:user:florisdenhengst,2019-09-03T08:09:09Z
51,81,La Bomba,King Africa,,La Bomba,1,1,199106,spotify:user:florisdenhengst,2019-09-03T08:09:56Z
